run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75tr2,BTCUSDm,2020.09.22 21:05:40,-1,0.00,10536.99,0.33,51.94,33.72,68.11,sl
BS75tr2,BTCUSDm,2020.09.24 07:53:40,-1,0.00,10342.44,0.36,-20.40,30.27,56.06,sl
BS75tr2,BTCUSDm,2020.10.01 19:06:40,-1,0.00,10618.42,0.24,-26.32,26.32,73.12,sl
BS75tr2,BTCUSDm,2020.10.07 18:20:40,-1,0.00,10657.15,0.28,-24.23,24.23,57.69,sl
BS75tr2,BTCUSDm,2020.10.10 09:46:40,1,0.00,11294.74,0.26,68.23,17.65,45.24,sl
BS75tr2,BTCUSDm,2020.10.13 00:42:40,1,0.00,11462.06,0.16,-7.20,16.75,69.81,sl
BS75tr2,BTCUSDm,2020.10.19 03:59:40,1,0.00,11410.95,1.03,-30.08,49.66,32.14,sl
BS75tr2,BTCUSDm,2020.10.20 20:20:40,1,0.00,11849.66,0.50,98.32,36.84,49.12,sl
BS75tr2,BTCUSDm,2020.10.21 23:05:40,1,0.00,12906.18,0.13,102.26,16.25,83.35,sl
BS75tr2,BTCUSDm,2020.10.25 23:06:00,1,12819.33,13012.57,0.07,13.53,17.04,162.26,time_exit
BS75tr2,BTCUSDm,2020.10.25 23:06:00,1,0.00,13012.57,0.07,7.89,17.04,162.26,time_exit
BS75tr2,BTCUSDm,2020.10.28 07:23:40,1,0.00,13586.28,0.56,179.77,54.26,64.59,sl
BS75tr2,BTCUSDm,2020.11.02 08:36:40,1,0.00,13547.19,0.15,-23.18,27.34,121.53,sl
BS75tr2,BTCUSDm,2020.11.04 07:46:40,1,0.00,13677.46,0.29,-42.00,43.29,99.53,sl
BS75tr2,BTCUSDm,2020.11.05 17:33:40,1,0.00,14832.96,0.17,127.17,32.98,129.34,sl
BS75tr2,BTCUSDm,2020.11.06 09:20:40,1,0.00,15314.55,0.09,40.69,23.27,172.34,sl
BS75tr2,BTCUSDm,2020.11.09 12:11:40,1,0.00,15555.70,0.13,-29.26,29.26,150.03,sl
BS75tr2,BTCUSDm,2020.11.12 00:10:40,1,0.00,15593.52,0.35,-66.08,60.45,115.15,sl
BS75tr2,BTCUSDm,2020.11.12 10:16:40,1,0.00,15826.19,0.25,-53.74,53.74,143.31,sl
BS75tr2,BTCUSDm,2020.11.14 08:22:40,1,0.00,15893.28,0.08,-30.45,25.29,210.78,sl
BS75tr2,BTCUSDm,2020.11.18 05:33:40,1,0.00,18087.39,0.27,493.03,40.05,98.88,sl
BS75tr2,BTCUSDm,2020.11.18 05:35:40,1,0.00,17682.58,0.06,-22.36,22.36,248.44,sl
BS75tr2,BTCUSDm,2020.11.21 12:03:40,1,0.00,18321.00,0.09,-31.29,26.95,199.66,sl
BS75tr2,BTCUSDm,2020.11.24 10:27:40,1,0.00,18697.90,0.25,-69.34,69.35,184.93,sl
BS75tr2,BTCUSDm,2020.11.24 21:50:20,1,0.00,18827.28,0.20,-66.57,66.57,221.90,sl
BS75tr2,BTCUSDm,2020.11.30 15:33:40,1,0.00,19274.74,0.26,459.77,58.83,150.83,sl
BS75tr2,BTCUSDm,2020.12.01 11:25:40,1,0.00,19145.21,0.16,-25.64,50.73,211.38,sl
BS75tr2,BTCUSDm,2020.12.03 17:12:40,1,0.00,19240.28,0.20,-57.62,57.63,192.09,sl
BS75tr2,BTCUSDm,2020.12.07 02:26:40,1,0.00,19161.31,0.38,-74.39,74.39,130.51,sl
BS75tr2,BTCUSDm,2020.12.12 14:47:40,1,0.00,18312.48,0.22,-39.12,39.12,118.55,sl
BS75tr2,BTCUSDm,2020.12.15 05:16:40,1,0.00,19104.40,0.23,91.72,40.90,118.55,sl
BS75tr2,BTCUSDm,2020.12.17 03:23:40,1,0.00,21706.43,0.26,505.09,48.68,124.81,sl
BS75tr2,BTCUSDm,2020.12.17 09:39:40,1,0.00,22528.49,0.06,46.81,28.70,318.93,sl
BS75tr2,BTCUSDm,2020.12.17 18:16:40,1,0.00,22482.04,0.06,-9.04,30.66,340.68,sl
BS75tr2,BTCUSDm,2020.12.19 18:17:40,1,0.00,23613.26,0.08,-28.70,28.69,239.12,sl
BS75tr2,BTCUSDm,2020.12.20 21:12:40,1,0.00,23775.06,0.07,-26.17,26.16,249.18,sl
BS75tr2,BTCUSDm,2020.12.25 14:42:40,1,0.00,24183.42,0.11,-40.24,40.24,243.91,sl
BS75tr2,BTCUSDm,2020.12.27 11:41:40,1,0.00,27074.93,0.08,193.04,41.40,344.97,sl
