month,requested_from,requested_to,parser_valid,parser_invalid_reason,probe_valid,invalid_reason,finalization_event,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,GateA_status,GateB_status,jpy_dup,xau_dup,jpy_non_monotonic,xau_non_monotonic,outside_requested_month,methodA_jpy_count,methodB_jpy_count,methodA_xau_count,methodB_xau_count,methodA_methodB_jpy_equal,methodA_methodB_xau_equal,journal_jpy_bars,journal_minus_filtered,first_jpy,last_jpy,first_xau,last_xau,journal_reconciliation,month_engineering_status,month_data_status,month_pass,tester_log_path,check_failures
2021-08,2021.08.01,2021.09.01,1,,1,,OnTester,1065,1019,1019,95.6808,100.0000,PASS,PASS,0,0,0,0,0,1065,1065,1019,1019,1,1,1065,0,2021.08.01 00:00,2021.08.31 23:30,2021.08.01 00:00,2021.08.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-09,2021.09.01,2021.10.01,1,,1,,OnTester,1056,1005,1005,95.1705,100.0000,PASS,PASS,0,0,0,0,0,1056,1056,1005,1005,1,1,1056,0,2021.09.01 00:00,2021.09.30 23:30,2021.09.01 00:00,2021.09.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-10,2021.10.01,2021.11.01,1,,1,,OnTester,1008,966,966,95.8333,100.0000,PASS,PASS,0,0,0,0,0,1008,1008,966,966,1,1,1008,0,2021.10.01 00:00,2021.10.31 23:30,2021.10.01 00:00,2021.10.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-11,2021.11.01,2021.12.01,1,,1,,OnTester,1054,995,995,94.4023,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,995,995,1,1,1054,0,2021.11.01 00:00,2021.11.30 23:30,2021.11.01 00:00,2021.11.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2021-12,2021.12.01,2022.01.01,1,,1,,OnTester,1092,1006,1006,92.1245,100.0000,PASS,PASS,0,0,0,0,0,1092,1092,1006,1006,1,1,1092,0,2021.12.01 00:00,2021.12.31 19:30,2021.12.01 00:00,2021.12.31 19:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-01,2022.01.01,2022.02.01,1,,1,,OnTester,1012,963,963,95.1581,100.0000,PASS,PASS,0,0,0,0,0,1012,1012,963,963,1,1,1012,0,2022.01.02 22:00,2022.01.31 23:30,2022.01.02 23:00,2022.01.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-02,2022.02.01,2022.03.01,1,,1,,OnTester,958,913,913,95.3027,100.0000,PASS,PASS,0,0,0,0,0,958,958,913,913,1,1,958,0,2022.02.01 00:00,2022.02.28 23:30,2022.02.01 00:00,2022.02.28 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-03,2022.03.01,2022.04.01,1,,1,,OnTester,1105,1060,1060,95.9276,100.0000,PASS,PASS,0,0,0,0,0,1105,1105,1060,1060,1,1,1105,0,2022.03.01 00:00,2022.03.31 23:30,2022.03.01 00:00,2022.03.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-04,2022.04.01,2022.05.01,1,,1,,OnTester,1002,916,916,91.4172,100.0000,PASS,PASS,0,0,0,0,0,1002,1002,916,916,1,1,1002,0,2022.04.01 00:00,2022.04.29 20:30,2022.04.01 00:00,2022.04.29 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-05,2022.05.01,2022.06.01,1,,1,,OnTester,1062,1009,1009,95.0094,100.0000,PASS,PASS,0,0,0,0,0,1062,1062,1009,1009,1,1,1062,0,2022.05.01 21:00,2022.05.31 23:30,2022.05.01 22:00,2022.05.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-06,2022.06.01,2022.07.01,1,,1,,OnTester,1055,1005,1005,95.2607,100.0000,PASS,PASS,0,0,0,0,0,1055,1055,1005,1005,1,1,1055,0,2022.06.01 00:00,2022.06.30 23:30,2022.06.01 00:00,2022.06.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-07,2022.07.01,2022.08.01,1,,1,,OnTester,1008,959,959,95.1389,100.0000,PASS,PASS,0,0,0,0,0,1008,1008,959,959,1,1,1008,0,2022.07.01 00:00,2022.07.31 23:30,2022.07.01 00:00,2022.07.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-08,2022.08.01,2022.09.01,1,,1,,OnTester,1104,1058,1058,95.8333,100.0000,PASS,PASS,0,0,0,0,0,1104,1104,1058,1058,1,1,1104,0,2022.08.01 00:00,2022.08.31 23:30,2022.08.01 00:00,2022.08.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2022-09,2022.09.01,2022.10.01,1,,1,,OnTester,1050,1001,1001,95.3333,100.0000,PASS,PASS,0,0,0,0,0,1050,1050,1001,1001,1,1,1050,0,2022.09.01 00:00,2022.09.30 20:30,2022.09.01 00:00,2022.09.30 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
